Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10uF,
C2,0805,1,0.1uF,
C3,0805,1,10uF 5.787mOhm,
C4,0805,1,10nF 1mOhm,
C5,0805,1,47uF,
C6,0805,1,10pF,
D1,0805,1,LED (RED),
D2,0805,1,LED (GREEN),
"J1, J4",PinHeader_1x03_P2.54mm_Horizontal,2,Conn_01x03_Pin,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J5,PinHeader_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
L1,0805,1,1uH 10mOhm,
P1,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,1,USB_C_Plug_USB2.0,
Q1,TDSON-8-1,1,FDMS86350,
"Q2, Q3",SOIC-8_3.9x4.9mm_P1.27mm,2,AO4842,
"R1, R2",0805,2,1k,
R10,0805,1,205k Ohm,
R3,0805,1,2k,
R4,0805,1,100 ohm,
R5,0805,1,1k ohm,
"R6, R7",0805,2,1M Ohm,
R8,0805,1,30.9k Ohm,
R9,0805,1,619k Ohm,
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U2,SOT-23-6,1,DW01A,
U3,RWL0009A,1,TPS61236PRWLR,
