Designator,Mid X,Mid Y,Rotation,Layer
C1,149.964,-105.73,90.0,top
C2,160.597,-113.589,0.0,top
C3,170.48,-106.49,90.0,top
C4,173.49,-106.49,90.0,top
C5,176.5,-106.49,90.0,top
C6,179.51,-106.49,90.0,top
D1,139.697,-112.051,90.0,top
D2,150.613,-112.088,270.0,top
J1,166.168,-91.132,270.0,bottom
J2,188.661,-100.803,0.0,bottom
J4,175.545,-91.154,270.0,bottom
J5,147.274,-92.489,90.0,top
L1,182.27,-106.49,90.0,top
P1,130.895,-104.056,90.0,bottom
Q1,178.467,-110.8435,270.0,bottom
Q2,157.3775,-107.374,180.0,top
Q3,164.0695,-107.374,0.0,top
R1,140.112,-105.699,90.0,top
R10,182.25,-111.27,90.0,top
R2,143.354,-105.737,90.0,top
R3,146.77,-105.73,90.0,top
R4,155.561,-113.59,0.0,top
R5,165.877,-113.6,0.0,top
R6,170.45,-111.27,90.0,top
R7,173.4,-111.27,90.0,top
R8,176.35,-111.27,90.0,top
R9,179.3,-111.27,270.0,top
U1,147.655,-99.76,90.0,top
U2,164.506,-99.5155,180.0,top
U3,180.550002,-99.67,0.0,top
